iter	Logloss
0	0.6461154926
1	0.6047575925
2	0.5715945337
3	0.5422392197
4	0.5171612708
5	0.4949772797
6	0.4762961589
7	0.4592164773
8	0.4432572739
9	0.4291826442
10	0.4171493617
11	0.4075482946
12	0.3984620425
13	0.3910112051
14	0.3844650091
15	0.3783514113
16	0.3726343681
17	0.3677860247
18	0.3633328228
19	0.3595953489
20	0.3559755967
21	0.3531194191
22	0.3504746724
23	0.3480203605
24	0.3460170303
25	0.3440175686
26	0.3422185167
27	0.3405428477
28	0.3392409241
29	0.3379167301
30	0.3367583307
31	0.3355932251
32	0.3345982873
33	0.3336352615
34	0.3329495461
35	0.3321296271
36	0.3314015731
37	0.3307349275
38	0.3300664052
39	0.3295284535
40	0.3291090915
41	0.3285216355
42	0.3280772679
43	0.3276320538
44	0.3272993602
45	0.3269579609
46	0.3266776879
47	0.3262987792
48	0.3259883973
49	0.3256694566
50	0.3254106518
51	0.3251356965
52	0.3249058502
53	0.3246905537
54	0.3244504951
55	0.3242142894
56	0.3240639213
57	0.3238652667
58	0.3236962372
59	0.3235223995
60	0.3233665825
61	0.3232096496
62	0.3230783472
63	0.3229647197
64	0.322806122
65	0.3226563151
66	0.3225530597
67	0.3224442442
68	0.3223471934
69	0.3222309356
70	0.3221193583
71	0.3220859473
72	0.3219901919
73	0.3218659002
74	0.3217729659
75	0.321666262
76	0.3215811793
77	0.3214917474
78	0.3214023435
79	0.3213353389
80	0.3212907837
81	0.3212365157
82	0.3211854667
83	0.321107969
84	0.3210330626
85	0.3209783661
86	0.3208970431
87	0.3208306627
88	0.3207798096
89	0.3207067783
90	0.3206413467
91	0.3205901258
92	0.3205368985
93	0.3204700366
94	0.3204125954
95	0.320356418
96	0.3202997723
97	0.3202679094
98	0.3202291438
99	0.3201736758
100	0.320133648
101	0.3200847856
102	0.3200151179
103	0.3199655344
104	0.3199176815
105	0.3198636772
106	0.3198265935
107	0.3197894565
108	0.3197468773
109	0.3196965962
110	0.3196599935
111	0.3196211191
112	0.3195857646
113	0.3195492673
114	0.3195130305
115	0.3194622688
116	0.3194285532
117	0.3193750238
118	0.319338771
119	0.3192999248
120	0.3192728868
121	0.3192400339
122	0.3192128903
123	0.3191817542
124	0.3191522094
125	0.3191237975
126	0.3190938521
127	0.3190553085
128	0.3190317724
129	0.319024923
130	0.3189964405
131	0.3189541054
132	0.3189099931
133	0.3188871111
134	0.3188578037
135	0.3188243681
136	0.3187884824
137	0.3187783239
138	0.3187541849
139	0.3187336438
140	0.3187132192
141	0.3187087954
142	0.3186919428
143	0.3186646887
144	0.3186619209
145	0.3186313816
146	0.3185993568
147	0.318562951
148	0.3185350745
149	0.3185040601
150	0.3184760197
151	0.3184550235
152	0.3184189932
153	0.3183880881
154	0.3183787065
155	0.3183498929
156	0.318316305
157	0.3182882245
158	0.3182733626
159	0.3182508608
160	0.3182252287
161	0.3182198864
162	0.318199416
163	0.3181665891
164	0.3181378871
165	0.318112897
166	0.3180937251
167	0.3180880764
168	0.3180766122
169	0.3180573939
170	0.3180249861
171	0.3180046537
172	0.3179777524
173	0.3179598787
174	0.3179294644
175	0.3179037179
176	0.3178760295
177	0.3178660755
178	0.3178386444
179	0.3178082366
180	0.3177904754
181	0.3177669372
182	0.3177428326
183	0.3177240415
184	0.3177110031
185	0.3176818169
186	0.3176477783
187	0.3176246719
188	0.317619468
189	0.3175983626
190	0.3175757478
191	0.3175536122
192	0.3175521321
193	0.3175344074
194	0.3175064984
195	0.3175057475
196	0.3174794336
197	0.3174490568
198	0.317425368
199	0.3174119092
200	0.3173798691
201	0.3173642298
202	0.3173480684
203	0.3173201201
204	0.3173046086
205	0.3172845526
206	0.3172644686
207	0.3172644684
208	0.317251021
209	0.3172317345
210	0.3172155319
211	0.3172119115
212	0.3171927853
213	0.3171735183
214	0.3171484745
215	0.3171241118
216	0.31710289
217	0.3170790354
218	0.3170622555
219	0.3170376791
220	0.3170114133
221	0.3169962736
222	0.3169762872
223	0.3169534495
224	0.3169384639
225	0.3169211436
226	0.3169021192
227	0.3168800602
228	0.316859185
229	0.3168332613
230	0.3168137131
231	0.3167905512
232	0.3167698566
233	0.3167543112
234	0.3167299262
235	0.316729926
236	0.3167032141
237	0.3167032139
238	0.3166769836
239	0.3166626164
240	0.3166404271
241	0.3166242074
242	0.3166242063
243	0.3166084324
244	0.316584357
245	0.3165565013
246	0.3165403575
247	0.3165398638
248	0.3165139322
249	0.3164946347
250	0.3164773692
251	0.3164594096
252	0.3164421908
253	0.3164205484
254	0.3164075306
255	0.3163889789
256	0.3163708195
257	0.3163452114
258	0.3163209433
259	0.3162941703
260	0.3162667357
261	0.3162371976
262	0.3162100542
263	0.3161867073
264	0.3161634613
265	0.3161362631
266	0.316123828
267	0.3161238269
268	0.3161102224
269	0.3160851127
270	0.316085112
271	0.316063727
272	0.3160475883
273	0.316033113
274	0.3160140113
275	0.3159921617
276	0.3159913841
277	0.3159736649
278	0.3159565224
279	0.3159329101
280	0.3159156782
281	0.3159062931
282	0.3158821397
283	0.3158575536
284	0.3158418558
285	0.3158216683
286	0.3158022271
287	0.3157892531
288	0.3157682915
289	0.3157480729
290	0.3157213898
291	0.3157149124
292	0.3157073294
293	0.3157073289
294	0.3157019056
295	0.3156875534
296	0.3156640003
297	0.3156461491
298	0.315639523
299	0.3156275207
300	0.315599085
301	0.3155754636
302	0.3155530368
303	0.3155299368
304	0.3155124431
305	0.3155124419
306	0.3155056533
307	0.3154844434
308	0.3154650958
309	0.3154639109
310	0.315438313
311	0.3154139561
312	0.3153937503
313	0.3153731029
314	0.3153553528
315	0.3153553521
316	0.3153321306
317	0.3153321299
318	0.315310658
319	0.3152901434
320	0.3152814598
321	0.3152642643
322	0.3152351962
323	0.3152115965
324	0.3151964616
325	0.31517579
326	0.3151574652
327	0.3151520269
328	0.3151214837
329	0.3150972236
330	0.3150774798
331	0.3150572613
332	0.3150470562
333	0.3150278115
334	0.3150064045
335	0.3149879026
336	0.3149760436
337	0.3149518759
338	0.3149272049
339	0.3149057437
340	0.3148860093
341	0.3148703679
342	0.3148499962
343	0.3148364906
344	0.3148215675
345	0.3148064849
346	0.3147871798
347	0.3147670265
348	0.3147492922
349	0.3147432996
350	0.3147432986
351	0.3147230774
352	0.3147111304
353	0.3146959385
354	0.3146817238
355	0.314663056
356	0.3146454824
357	0.3146345931
358	0.314614521
359	0.3145964004
360	0.3145727351
361	0.3145606119
362	0.3145606117
363	0.3145412472
364	0.3145337292
365	0.3145158389
366	0.3144980862
367	0.3144936583
368	0.3144723546
369	0.3144720968
370	0.3144483361
371	0.314448336
372	0.3144320632
373	0.3144320616
374	0.3144177802
375	0.3144013226
376	0.3143954805
377	0.3143752026
378	0.3143573381
379	0.3143378802
380	0.3143276854
381	0.3143221395
382	0.3143149554
383	0.3142932328
384	0.31427765
385	0.3142722815
386	0.3142505083
387	0.314229765
388	0.3142297643
389	0.3142080827
390	0.3141979733
391	0.3141838976
392	0.3141785625
393	0.3141717584
394	0.3141553841
395	0.3141382422
396	0.3141213089
397	0.3140994336
398	0.3140757631
399	0.3140582344
400	0.314039847
401	0.3140398463
402	0.314021169
403	0.3140027431
404	0.313991862
405	0.313972536
406	0.3139529441
407	0.3139397223
408	0.3139218726
409	0.3139024124
410	0.3138802835
411	0.3138608621
412	0.3138526139
413	0.3138385932
414	0.3138190976
415	0.3138190961
416	0.3138150676
417	0.313806378
418	0.3137873589
419	0.3137721102
420	0.3137721095
421	0.3137561482
422	0.3137561481
423	0.3137364384
424	0.3137196396
425	0.3137053907
426	0.31370539
427	0.3136876538
428	0.3136725651
429	0.3136542947
430	0.313637783
431	0.31362708
432	0.3136121612
433	0.3136084323
434	0.3135923152
435	0.313572096
436	0.3135584936
437	0.313543391
438	0.3135285988
439	0.313514045
440	0.3134921868
441	0.3134701424
442	0.3134455256
443	0.3134307174
444	0.3134118606
445	0.3134118603
446	0.3134118597
447	0.313393489
448	0.3133737513
449	0.3133604032
450	0.3133445365
451	0.3133445353
452	0.31332788
453	0.3133073329
454	0.3133073324
455	0.3132975649
456	0.3132751069
457	0.3132695242
458	0.3132502391
459	0.3132303308
460	0.3132143653
461	0.3132068161
462	0.3131888467
463	0.3131722041
464	0.3131722035
465	0.3131518333
466	0.3131393968
