iter	Passed	Remaining
0	120	120453
1	159	79379
2	192	63828
3	222	55300
4	256	50977
5	283	47031
6	308	43742
7	329	40859
8	355	39121
9	382	37841
10	405	36474
11	426	35078
12	452	34364
13	478	33712
14	505	33168
15	532	32722
16	553	32029
17	579	31616
18	605	31272
19	629	30841
20	655	30551
21	682	30346
22	709	30148
23	734	29873
24	767	29916
25	800	30004
26	834	30058
27	866	30063
28	895	29986
29	925	29916
30	956	29913
31	987	29858
32	1013	29694
33	1038	29517
34	1064	29349
35	1092	29245
36	1114	29006
37	1139	28858
38	1167	28756
39	1187	28502
40	1214	28413
41	1238	28255
42	1265	28173
43	1294	28117
44	1317	27964
45	1340	27808
46	1366	27718
47	1392	27627
48	1420	27559
49	1444	27437
50	1471	27386
51	1497	27296
52	1525	27251
53	1549	27149
54	1576	27091
55	1603	27029
56	1630	26970
57	1656	26905
58	1683	26850
59	1710	26790
60	1736	26735
61	1765	26708
62	1791	26648
63	1817	26575
64	1844	26531
65	1873	26507
66	1899	26446
67	1929	26441
68	1968	26556
69	2005	26640
70	2038	26670
71	2064	26612
72	2087	26508
73	2114	26458
74	2139	26390
75	2166	26342
76	2195	26318
77	2220	26252
78	2244	26172
79	2265	26054
80	2293	26026
81	2320	25980
82	2345	25918
83	2371	25857
84	2400	25840
85	2428	25806
86	2454	25757
87	2478	25689
88	2511	25702
89	2541	25694
90	2571	25691
91	2599	25653
92	2626	25620
93	2652	25566
94	2678	25520
95	2706	25482
96	2726	25379
97	2750	25318
98	2773	25241
99	2800	25201
100	2830	25197
101	2858	25164
102	2884	25121
103	2911	25083
104	2939	25059
105	2965	25009
106	2991	24970
107	3018	24933
108	3047	24914
109	3072	24857
110	3100	24835
111	3114	24695
112	3134	24607
113	3158	24545
114	3180	24473
115	3207	24447
116	3233	24406
117	3260	24368
118	3287	24336
119	3304	24230
120	3330	24196
121	3357	24165
122	3381	24110
123	3406	24063
124	3435	24050
125	3460	24005
126	3485	23960
127	3512	23932
128	3539	23901
129	3568	23879
130	3592	23832
131	3612	23757
132	3636	23704
133	3662	23671
134	3676	23559
135	3700	23511
136	3727	23478
137	3754	23451
138	3779	23410
139	3802	23358
140	3827	23317
141	3855	23298
142	3881	23260
143	3905	23215
144	3931	23179
145	3959	23160
146	3986	23132
147	4010	23089
148	4036	23055
149	4049	22947
150	4075	22915
151	4092	22829
152	4120	22810
153	4146	22781
154	4173	22752
155	4187	22657
156	4216	22641
157	4242	22607
158	4268	22576
159	4295	22550
160	4324	22535
161	4351	22507
162	4379	22488
163	4405	22456
164	4434	22439
165	4462	22421
166	4489	22394
167	4514	22357
168	4539	22319
169	4567	22299
170	4591	22257
171	4615	22220
172	4639	22179
173	4667	22157
174	4703	22172
175	4736	22175
176	4762	22145
177	4773	22044
178	4799	22012
179	4833	22017
180	4866	22019
181	4898	22015
182	4936	22040
183	4970	22042
184	4999	22024
185	5034	22033
186	5069	22038
187	5101	22032
188	5131	22020
189	5173	22054
190	5211	22074
191	5239	22050
192	5273	22051
193	5309	22060
194	5344	22064
195	5378	22064
196	5411	22059
197	5442	22043
198	5481	22065
199	5519	22077
200	5550	22065
201	5583	22057
202	5619	22061
203	5654	22063
204	5685	22049
205	5719	22046
206	5755	22047
207	5792	22055
208	5828	22057
209	5872	22093
210	5905	22081
211	5938	22072
212	5973	22069
213	6005	22057
214	6041	22059
215	6077	22059
216	6114	22063
217	6160	22099
218	6194	22090
219	6228	22081
220	6262	22073
221	6287	22035
222	6321	22025
223	6351	22003
224	6397	22036
225	6434	22036
226	6467	22025
227	6500	22011
228	6535	22004
229	6571	21998
230	6615	22022
231	6651	22019
232	6699	22053
233	6734	22045
234	6770	22041
235	6805	22032
236	6840	22022
237	6877	22019
238	6919	22033
239	6958	22036
240	6998	22040
241	7048	22078
242	7080	22056
243	7111	22034
244	7140	22002
245	7167	21969
246	7200	21949
247	7229	21921
248	7259	21894
249	7290	21870
250	7321	21847
251	7350	21817
252	7376	21779
253	7408	21758
254	7439	21736
255	7472	21718
256	7504	21696
257	7533	21667
258	7565	21643
259	7595	21618
260	7624	21586
261	7654	21560
262	7682	21527
263	7711	21499
264	7740	21468
265	7767	21434
266	7795	21401
267	7825	21375
268	7857	21352
269	7888	21328
270	7919	21305
271	7952	21284
272	7984	21262
273	8016	21240
274	8048	21219
275	8081	21200
276	8109	21166
277	8140	21142
278	8173	21121
279	8206	21103
280	8238	21080
281	8267	21050
282	8300	21030
283	8333	21010
284	8362	20980
285	8393	20953
286	8424	20929
287	8457	20909
288	8489	20885
289	8518	20854
290	8549	20829
291	8581	20808
292	8610	20775
293	8641	20750
294	8673	20728
295	8706	20706
296	8735	20676
297	8764	20646
298	8797	20624
299	8823	20588
300	8856	20568
301	8887	20542
302	8911	20499
303	8942	20474
304	8973	20447
305	9004	20421
306	9031	20386
307	9062	20360
308	9091	20329
309	9121	20301
310	9152	20276
311	9180	20245
312	9206	20208
313	9235	20176
314	9268	20155
315	9298	20127
316	9331	20106
317	9362	20079
318	9396	20058
319	9422	20022
320	9455	20000
321	9485	19972
322	9516	19945
323	9547	19920
324	9570	19877
325	9603	19854
326	9635	19831
327	9668	19807
328	9700	19784
329	9733	19762
330	9766	19740
331	9796	19711
332	9825	19681
333	9859	19659
334	9890	19632
335	9923	19610
336	9953	19582
337	9987	19561
338	10017	19533
339	10048	19505
340	10078	19478
341	10109	19451
342	10141	19426
343	10174	19402
344	10203	19372
345	10236	19348
346	10268	19323
347	10299	19296
348	10329	19267
349	10361	19243
350	10392	19215
351	10420	19183
352	10454	19161
353	10487	19137
354	10520	19113
355	10549	19083
356	10581	19058
357	10611	19029
358	10638	18994
359	10668	18966
360	10699	18938
361	10731	18913
362	10758	18878
363	10790	18854
364	10821	18826
365	10852	18799
366	10885	18775
367	10919	18752
368	10950	18726
369	10983	18702
370	11016	18677
371	11049	18653
372	11082	18628
373	11114	18603
374	11147	18578
375	11178	18551
376	11209	18524
377	11242	18500
378	11276	18476
379	11306	18448
380	11334	18415
381	11366	18388
382	11395	18358
383	11427	18330
384	11458	18304
385	11482	18264
386	11511	18234
387	11542	18206
388	11572	18176
389	11603	18149
390	11631	18116
391	11663	18090
392	11703	18076
393	11740	18057
394	11783	18047
395	11821	18031
396	11861	18016
397	11903	18004
398	11939	17984
399	11973	17960
400	12011	17941
401	12047	17920
402	12085	17903
403	12117	17876
404	12153	17855
405	12192	17838
406	12257	17859
407	12291	17834
408	12326	17811
409	12363	17792
410	12401	17772
411	12441	17755
412	12478	17735
413	12516	17716
414	12579	17732
415	12617	17713
416	12654	17692
417	12683	17660
418	12722	17640
419	12753	17612
420	12788	17588
421	12820	17560
422	12851	17529
423	12879	17497
424	12911	17468
425	12941	17438
426	12972	17407
427	13000	17374
428	13029	17342
429	13059	17312
430	13088	17279
431	13117	17246
432	13149	17219
433	13186	17196
434	13222	17173
435	13248	17138
436	13279	17108
437	13305	17072
438	13336	17042
439	13369	17015
440	13394	16978
441	13424	16948
442	13456	16919
443	13484	16886
444	13513	16853
445	13543	16822
446	13573	16792
447	13605	16763
448	13635	16732
449	13666	16703
450	13698	16675
451	13732	16649
452	13761	16617
453	13793	16588
454	13822	16557
455	13854	16528
456	13881	16494
457	13911	16462
458	13943	16434
459	13972	16402
460	14000	16369
461	14032	16340
462	14063	16311
463	14095	16282
464	14126	16252
465	14155	16220
466	14185	16190
467	14213	16156
468	14245	16128
469	14279	16102
470	14306	16068
471	14338	16039
472	14371	16011
473	14401	15981
474	14431	15950
475	14463	15921
476	14490	15887
477	14521	15858
478	14551	15827
479	14584	15800
480	14615	15770
481	14647	15741
482	14678	15712
483	14707	15680
484	14737	15648
485	14764	15614
486	14794	15584
487	14818	15547
488	14849	15518
489	14878	15486
490	14909	15456
491	14940	15426
492	14972	15397
493	14999	15363
494	15030	15334
495	15062	15305
496	15090	15272
497	15121	15243
498	15153	15214
499	15182	15182
500	15209	15148
501	15236	15114
502	15268	15086
503	15299	15057
504	15331	15027
505	15362	14997
506	15390	14965
507	15416	14931
508	15447	14901
509	15475	14869
510	15506	14838
511	15532	14804
512	15564	14775
513	15595	14745
514	15621	14711
515	15653	14683
516	15685	14653
517	15718	14626
518	15751	14597
519	15784	14570
520	15818	14543
521	15847	14511
522	15878	14482
523	15912	14455
524	15946	14428
525	15980	14400
526	16010	14369
527	16044	14342
528	16076	14313
529	16109	14285
530	16137	14253
531	16170	14225
532	16203	14197
533	16237	14169
534	16272	14143
535	16304	14114
536	16338	14086
537	16369	14057
538	16401	14027
539	16434	13999
540	16467	13971
541	16499	13942
542	16534	13916
543	16568	13888
544	16600	13858
545	16632	13830
546	16664	13800
547	16695	13771
548	16730	13744
549	16757	13710
550	16788	13680
551	16821	13652
552	16854	13623
553	16895	13601
554	16931	13576
555	16967	13549
556	17002	13522
557	17036	13495
558	17071	13468
559	17108	13442
560	17154	13423
561	17232	13430
562	17277	13410
563	17318	13387
564	17357	13363
565	17398	13341
566	17437	13316
567	17479	13294
568	17538	13284
569	17578	13261
570	17612	13232
571	17648	13205
572	17684	13178
573	17722	13153
574	17795	13153
575	17831	13125
576	17871	13101
577	17913	13078
578	17952	13053
579	17992	13029
580	18027	13001
581	18065	12974
582	18101	12947
583	18152	12930
584	18192	12906
585	18232	12880
586	18266	12852
587	18303	12825
588	18345	12801
589	18395	12783
590	18436	12758
591	18473	12731
592	18510	12704
593	18543	12674
594	18577	12645
595	18617	12619
596	18652	12591
597	18688	12563
598	18727	12536
599	18763	12508
600	18802	12483
601	18832	12450
602	18863	12419
603	18894	12387
604	18926	12357
605	18955	12323
606	18990	12295
607	19026	12267
608	19062	12238
609	19100	12212
610	19131	12180
611	19162	12148
612	19196	12118
613	19221	12083
614	19253	12053
615	19286	12022
616	19310	11987
617	19342	11955
618	19379	11928
619	19412	11898
620	19439	11864
621	19469	11832
622	19501	11801
623	19533	11770
624	19574	11744
625	19606	11713
626	19653	11691
627	19687	11662
628	19719	11631
629	19752	11600
630	19784	11569
631	19812	11536
632	19846	11506
633	19884	11479
634	19921	11450
635	19956	11421
636	20006	11400
637	20043	11372
638	20078	11343
639	20114	11314
640	20150	11285
641	20186	11256
642	20223	11228
643	20261	11200
644	20303	11174
645	20331	11141
646	20369	11113
647	20398	11080
648	20432	11050
649	20463	11018
650	20499	10989
651	20533	10959
652	20572	10931
653	20612	10904
654	20645	10874
655	20681	10845
656	20718	10816
657	20754	10787
658	20788	10757
659	20826	10728
660	20863	10700
661	20900	10671
662	20938	10643
663	20975	10614
664	21014	10586
665	21053	10558
666	21093	10531
667	21137	10505
668	21178	10478
669	21214	10448
670	21247	10417
671	21289	10391
672	21329	10363
673	21371	10337
674	21409	10308
675	21451	10281
676	21499	10257
677	21545	10232
678	21585	10204
679	21619	10174
680	21651	10142
681	21682	10110
682	21713	10077
683	21748	10047
684	21805	10027
685	21842	9998
686	21891	9973
687	21925	9942
688	21964	9914
689	22013	9890
690	22052	9861
691	22090	9832
692	22129	9803
693	22162	9771
694	22198	9741
695	22235	9711
696	22267	9680
697	22303	9649
698	22341	9620
699	22378	9590
700	22415	9561
701	22454	9531
702	22487	9500
703	22523	9470
704	22555	9437
705	22587	9406
706	22619	9374
707	22650	9341
708	22683	9310
709	22715	9278
710	22749	9246
711	22790	9218
712	22824	9187
713	22857	9155
714	22890	9124
715	22924	9093
716	22959	9062
717	22990	9029
718	23026	8999
719	23060	8967
720	23093	8936
721	23125	8904
722	23159	8873
723	23192	8841
724	23225	8809
725	23257	8777
726	23287	8744
727	23321	8713
728	23358	8683
729	23388	8650
730	23417	8617
731	23445	8583
732	23474	8550
733	23506	8518
734	23538	8486
735	23571	8455
736	23598	8421
737	23628	8388
738	23658	8355
739	23691	8324
740	23724	8292
741	23751	8258
742	23781	8225
743	23809	8192
744	23840	8160
